plate,review_reason_code,customer_meaning,reviewer_comments,status
PMPN GW,2,POWER MOTOR PEOPLE KNOW GOLD WING,PMPN = PIMPIN'?,N
ST4R W4R,2,MOVIE,STAR WAR IS  MARKED UNACCEPTABLE,N
AHHH RUN,2,NICKNAME: PRONOUNCED ARRON,THREATENING (NAME ISNT AARON),Y
AWSHIID,3,"IN BASEBALL ME AND MY BESTFRIEND WOULD SAY ""AWW SIT DOWN"" AFTER A STRIKE OUT AFTER TIME THAT SAYING BECAME SHORT INTO ""AWSHIID""",aww shit,N
BOBBYBM,2,BOBBY BOOM - A NICKNAME,BM=BOWEL MOVEMENT… BOOM=EXPLOSION,N
BS BABY,3,BOB AND STELLA'S BABY,BS=BULLSHIT BABY,N
DA DON,2,IT MEANS BOSS,DON=BOSS OF A MAFIA FAMILY,N
DGO 197O,2,DURANGO & BIRTH YEAR,"DGO=DAGO, AN OFFENSIVE TERM FOR SOMEONE OF ITALIAN DESCENT. ANI SHOWED A FORD, NO DODGE",N
FAST JU,2,NO MEANING WRITTEN ON REG 17,fast jew (customer name is Julius though),N
FORCE M,2,BAND NAME,FORCE 'EM?,N
GATO814,1,IT WAS MY SONS NICKNAME AND THE MONTH AND DAY THAT HE PAST AWAY,"gato=cat, has truck not cat car",Y
GO UGLY,2,COMMON PHRASE,CALLING SOMEONE UGLY,N
IDAREYU,2,I DARE YU,BECAUSE OF THE 'YOU'.. TAUNTING,N
ILL DUCE,2,THE LEADER,DUCE=AN ITALIAN TITLE (DUKE) MUSSOLINI REFERED TO HIMSELF AS 'IL DUCE'. DUCE IS ALSO SHIT (IL DUCE WAS DENIED 5/2016),N
ITHC 594,7D,CONFIGURATION OF A PLATE ADDED (I),"THC=MARIJUANA, ALSO AN AUTO PLATE LOOK-ALIKE",N
N2SLAYR,2,SLAYER IS MY FAVORITE BAND,PULLED FOR SLAYER (KILLER) BUT IT IS A BAND AND HE SAYS 'INTO' IT,N
POOR MX,2,POOR MOTOCROSS RIDER (EXPENSIVE HOBBY),POOR MEXICAN,N
PSLM713,2,PSALMS 713 THE HOLY BIBLE,"PSALMS 7:13=He has prepared his deadly weapons; he makes ready his flaming arrows. PSALMS 71:3 Be my rock of safety where I can always hide. Give the order to save me, for you are my rock and my fortress. (First one sounds questionable)",N
PUF PUF,7D,MY CARS NAME IS PUFF PUFF THE MAGIC DRAGON,MARIJUANA REFERENCE,N
RUHIIAM,7D,LIFTED TRUCK,ARE YOU HIGH? I AM.,N
TRUMP 4U,2,TRUMP FOR YOU,BECAUSE OF THE 'YOU',N
2KANOS,1,NICKNAME,GOOGLE TRANSLATE SAYS IT MEANS 'HORNY' IN HUNGARIAN,N
51ODANY,2,the car serial number and my son's name,"510 IS A BAY AREA AREA CODE, CUSTOMER IS IN SANTA ROSA. 510 IS A DATSUN/NISSAN MODEL, CUSTOMER HAS A NISSAN",Y
8DA4PEX,1,INSIDE JOKE WITH FRIEND,ATE THE?,N
KFHBLKD,2,FAMILY NICKNAME MINE 3 WIFES KLINGON FOR HIRE,KFH=KILLER FOR HIRE,N
SUKALDI,1,ICELANDIC FOR 'CHOCOLATE',PULLED FOR SUCK. CHOCOLATE IN ICELANDIC IS 'SUKKULADI' SO IT LOOKS QUESTIONALBLE IN ENGLISH,N
GARCI 87,2,LAST NAME,"187=MURDER, THERE IS JUST A HALF SPACE BETWEEN THE I AND THE 8, LAST NAME IS GARCIADIAZ",N
5OA666,4,FIFTY ANNIVERSARY EDITION OF VEHICLE AND LUCKY NUMBERS,666 ALSO COULD MAYBE LOOK LIKE A SIX DIGIT AUTO (SOA666),N
FN 2187R,2,STAR WARS STORMTROOPER,"STORMTROOPER NAME IS FN2187… FN=EFFIN, 187=MURDER",N
5 THEDON,2,NOT ON QUICKWEB,DON=BOSS OF A MAFIA FAMILY,N
HALLYEA,3,MY FRIENDS CALL ME HALLY AND I AM A PART TIME ECONOMIC ADVISOR (EA),"hell yeah, CUSTOMER LAST NAME IS HALL",N
MEKUM,1,WE BOUGHT THE 1936 CHEVY THROUGH THE MECUM AUCTION IN TEXAS. THIS PLATE IS SIMILAR,me cum,N
AK47S84,2,7UQG883,"AK47, WEAPON REFERENCE",N
BJATRD,3,THESE PLATES WILL BE REGISTERED TO A TOYOTA TACOMA TRD.  I HAVE BEEN GOING TO THE BAJA 1000 WITH MY DAD FOR 10 YEARS.,"TRD IS SIMILAR TO TURD, OBSCENE",Y
BL8KOWT,2,BLACK OUT,"BLACK OUT, COULD EITHER MEAN FIGHTING SOMEONE TIL THEY BLACK OUT OR DRINKING UNTIL YOU BLACK OUT",Y
BROCKLI,7D,MY NAME IS BROCK AND BROCKLI (BROCCOLI) IS MY NICKNAME.,BROCOLLI CAN BE ANOTHER WORD FOR MARIJUNA,N
BUD3O,7D,MY NICK NAME AND JERSEY NUMBER FROM HIGH SCHOOL FOOTBALL,BUD COULD BE A REFERENCE TO MARIJUANA,N
BULYGAL,2,ENGLISH AND FRENCH BULLDOG OWNER,SOME MAY TAKE OFFENSE TO BULLY,Y
CEYEA,4,MY NAME IS CATRICE ILENE ADAMS SO THIS IS SPELLING OUT MY INITIALS,"CIA, LAW ENFORCEMENT REFERENCE",Y
CFVCRX,7D,CROSSFIT VALLEY CENTER FITNESS PRESCRIBED,"RX IS THE SYMBOL FOR PRESCRIPTION DRUGS, DRUG REFERENCE",N
CHANGA1,7D,"MEANS MONKEY IN SPANISH, A FAMILY NICKNAME","CHANGA IS A SHEMONIC DRUG USED IN TRIBAL RITUALS, DRUG REFERENCE",N
CHILLAA,2,NICK NAME,"THE CH COULD MAKE THE K SOUND, THE PLATE COULD BE PRONOUNCED KILLA, HOSTILE",Y
CHILLAT,2,NICK NAME,"THE CH COULD MAKE THE K SOUND, THE PLATE COULD BE PRONOUNCED KILLA, HOSTILE",Y
CINCOP8,4,SYNCOPATE IS A MUSICAL TERM FOR ODD TIME SIGNATURES. CINCO IS THE SPANISH WORD FOR 5. THE PUN IS 5/8 IS AN ODD TIME SIGNATURE EMBEDDED IN THE WORD FOR ODD TIME SIGNATURES,"COP, LAW ENFORCEMENT REFERENCE",N
CUBS1IT,7D,CUBS WON WORLD SERIES,"1IT LOOKS LIKE LIT, LIT IS A WORD THAT CAN MEAN BEING HIGH OR INTOXICATED",Y
DAHUSS,1,NICKNAME,HUSS IS SIMILAR TO HUSSY WHICH CAN BE ANOTHER WORD FOR SLUT,Y
DBAGCFH,3,FRIENDS CALL ME DIRT BAG AND I CANT FORGET HAWAII. WHERE I PERPOSED TO MY BEUTIFUL WIFE.😊,"DBAG STANDS OUT TO ME, COULD MEAN DOUCHE BAG, OBSCENE",N
DNGBETL,3,DUNG BEETLE A NAME OF A CAR IN A SHOW ON TV,"DUNG BEETLE, DUNG IS ANOTHER WORD FOR POOP, OBSCENE",N
ESKUNK1,7D,"THAT IS HOW MY BOYFRIEND CALLS ME BECAUSE HE DOSENT KNOW HOW TO PRONOUNCE ""SKUNK "" HE CALLS ME ESKUNK, AND THE NUBER 1 IS OUR NUMBER OF OUR ANNIVERSARY",SKUNK CAN BE A WORD TO DESCRIBE A TYPE OF MARIJUNA,N
FASTRAG,2,FAST CAR,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y
FNL8O55,2,FINAL BOSS,"8O5 STANDS OUT TO ME, AREA CODE",Y
FOURU2C,2,"TO ADMIRE,FOR YOUR EYES","YOU, HOSTILE",Y
FOUR44S,2,FOUR HUNDRED FORTY FOUR,444 IS A REFERENCE TO A GUN AND TYPE OF BULLET,Y
GETFLY,7D,GET FLY,GET FLY IS ANOTHER WAY TO SAY GET HIGH,Y
GHSTGUN,2,FROM THE CALL OF DUTY GAME,"GUN, WEAPON REFERENCE",N
GIGAT29,2,GOD IS GOOD ALL THE TIME 29,GAT IS ANOTHER WORD FOR GUN,Y
GNZSRNR,2,NICK NAME AND TYPE OF CAR I OWN. GONZOS RUNNER (4RUNNER),"LOOKS LIKE GUNS RUNNER, WEAPON REFERENCE",N
GOHOOOS,3,"I AM A UVA GRADUATE.A NICKNAME FOR THE SCHOOL IS WAHOOS. SO AS A FAN, WE SAY GO HOOS.","LOOKS LIKE GO HOES, PROFANITY",N
HERSCAT,3,I HAVE A 2016 DODGE CHARGER SCATPACK. SCAT IS SHORT FOR SCATPACK AND HER BECAUSE I'M A GIRL DRIVING A SCATPACK.,"""HER SCAT"" SCAT IS ANOTHER WORD FOR POOP, OBSCENE",N
HOFEI,3,VERY FAT IN CANTONESE (THE CAR IS A HONDA FIT),"HO, PROFANITY",Y
HOGDOA,2,HARLEY OWNER GROUP DEAD ON  ARRIVAL,"DOA CAN STAND FOR DEAD ON ARRIVAL, HOSTILE",N
HOODDAT,2,WHO IS THAT?,MOST LIKELY WHO DAT? BUT HOOD STANDS OUT TO ME,Y
HY5BRO,7D,HIGH 5 BRO IS MEANS TO GIVE A HIGH FIVE TO A FRIEND.,"HIGH, DRUG REFERENCE",Y
IDGAS1,2,I DONT GO ASTRAY,"ID GAS ONE, SOUNDS HOSTILE",N
ITSFIRE,7D,THE CAR IS A CHAMELEON COLORED RED THAT REMINDS ME OF THE SHADES AND COLOR CHANGES LIKE A FLAME. SO IN PART; ITS FIRE.,FIRE CAN BE A WORD USED TO DESCRIBE HIGH QUALITY MARIJUANA,Y
JCON16,7D,MY NICKNAME AND YEAR OF THE VEHICLE.,THE J COULD STAND FOR JOINT,Y
JCRISS,7D,MY FIRST INITIAL AND LAST NAME,THE J COULD STAND FOR JOINT,Y
JDOM85,7D,MY NAME IS JESUS MY LAST NAME IS DOMINGUEZ AND I WAS BORN ON 1985 =),THE J COULD STAND FOR JOINT,Y
JHITE,7D,THIS IS MY NICKNAME. J IS FOR JUSTIN AND HITE IS SHORT FOR MY LAST NAME HITON,THE J COULD STAND FOR JOINT,Y
JKITCH1,3,KITCHEN,"JOCK ITCH, DISGUSTING TERM",N
JSGREEN,7D,"THIS IS JOHN STEWART, WHO IS A GREEN LANTERN FOR DC COMICS.","J'S GREEN, GREEN COULD BE A REFERENCE TO MARIJUNA",Y
JTRMN8R,2,JACOB TERMITE TERMINATORS PEST CONTROL,TERMINATOR MAY BE OFFENSIVE OR HOSTILE TO SOME,N
JUSS8YN,2,JUST SAYING,"WITH THE 8 IT MAKES IT SOUND SIMILAR TO JUST SATAN, WHICH SOME MAY FIND OFFENSIVE",Y
J1956,7D,NAME AND YEAR OF CAR,THE J COULD STAND FOR JOINT,Y
J4P4RE,2,"JAPANESE FERRARI.  TO ME, MY CAR IS EQUIVALENT TO A FERRARI MADE BY JAPANESE.",THE 4 MAKES J4P LOOK LIKE JAP WHICH IS A DEROGATORY TERM FOR A JAPANESE PERSON,N
KIKNRKZ,2,OFF ROAD ROCK CRAWLING JEEP CLUB,"KICKIN ROCKS, SOME COULD TAKE OFFENSE TO IT",Y
LELA5O,4,SHORT NAME FOR ABUELITOS AND YOUR SHE WAS BORN,"5O, LAW ENFORCEMENT REFERENCE",Y
LS7SLYR,2,MEANING MY CAR IS BETTER THAN A CHEVEROL  CORVETTE.,"SLAYER, COULD BE CONSIDERED HOSTILE",N
MNKEY3,2,MY THREE NIKES,MONKEY CAN BE A DEROGATORY TERM FOR A PERSON WITH DARK SKIN COMPLEXION,N
MNORDIE,2,MINI (COOPER) OR DIE,THE OR DIE AT THE END COULD BE CONSIDERED HOSTILE,N
M11283O,6,MATTHEW 11:28-30,LOOK ALIKE,N
NPZO916,2,AUTO NAME AND LEASE ENDING,AREA CODE,N
NSTYTRD,3,NASTY TRD (TOYOTA TRD),"TRD IS SIMILAR TO TURD, OBSCENE",N
NUGGGET,2,"MY NICKNAME IN MY FAMILY IS NUGGET, BUT NUGGET IS TAKEN SO I ADDED AN EXTRA G.",NUGGET CAN BE A DEROGATORY TERM USED TOWARD SOMEONE WITH NO ARMS OR LEGS,Y
OSHINZ,3,"OSHIN/OSH1N WAS NOT AVAILABLE FOR  OCEAN - SO I PICKED OCEANS, OR OSHINZ.","TO ME IT IS SIMILAR TO ""OH SHIT"" PROFANITY",Y
OZFAN,7D,LIFELONG FAN OF OZ,"OZ COULD STAND FOR OUNCE, COULD BE A DRUG REFERENCE PERTANING MAINLY TO MARIJUNA",Y
O9834,6,RETIRED CUP OFFICER'S BADGE NUMBER,ALL DIGITS,Y
SIDEBA3,3,SIDE CAR,"""SIDE BAE"" WHICH MEANS SIDE HOE",N
SLAYINN,2,GRANDMOTHERS NICKNAME,SLAYING COULD BE CONSIDERED HOSTILE,N
SPRTSHT,3,CARS NAME,"SHT IS SIMILAR TO SHIT, PROFANITY",N
SSSSSHO,3,CAR IS A FORD TAURUS SHO (SUPER HIGH OUTPUT,"HOE, PROFANITY",N
SUESIDE,2,SUICIDE DOORS ON 62 LINCOLN,"SUICIDE, SOME MAY FIND IT OFFENSIVE",N
TANK148,2,FRATERNITY NAME AND NUMBER,"TANK, WEAPON REFERENCE",N
TANK957,2,TANK IS MY NICKNAME AND 957 IS THE PORSCHE NUMERICAL CODE FOR THIS YEAR MODEL,"TANK, WEAPON REFERENCE",N
THE25OH,4,THE LEXUS IS 250,"5O, LAW ENFORCEMENT REFERENCE",Y
TTANN,1,"MY NAME IS TARYN ANN, MY NEIECE CALLS ME TT",TT COULD STAND FOR TITTIE,N
TTGYUL,1,TRINIDAD AND TOBAGO GIRL,TT COULD STAND FOR TITTIE,N
TTMV323,2,OWNERS INITIALS AND FAVORITE NUMBERS,AREA CODE,N
TYFHTER,2,STAR WARS TIE FIGHTER,"FIGHTER, COULD BE CONSIDERED HOSTILE",Y
UGNOME,2,YOU KNOW ME (PUN USING WORD GNOME),YOU COULD BE HOSTILE,Y
UNDEALR,7D,WWW.THEUNDEALERSHIP IS THE NAME OF MY BUSINESS.,"DEALER STOOD OUT TO ME, COULD BE REFERENCING DRUG DEALER",Y
WNMWWNW,6,LETTERS MIMICKING WATER WAVES,ALL THE LETTERS LOOK ALIKE,N
WUHUNTR,2,WILDERNESS UNLIMITED HUNTER,HUNTER COULD BE CONSIDERED HOSTILE,Y
WYUMAAD,2,WHY ARE YOU MAD. INSIDE JOKE BETWEEN MY WIFE AND I.,"""WHY YOU MAD?"" COULD BE CONSIDERED HOSTILE",N
YOULUZZ,2,I HAVE A BETTER CAR.,"YOU, HOSTILE",N
Z7O7Z,2,BECAUSE IM FROM THE AREA CODE 707.,AREA CODE,N
13123,6,SON 1/31 DAUGHTER 2/3 BIRTHDAYS,ALL DIGITS,Y
1964RAG,2,1964 IS THE YEAR OF THE VEHICLE AND RAG IS ANOTHER WORD FOR CONVERTIBLE.,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y
2MONK3Y,2,NICKNAME,MONKEY CAN BE A DEROGATORY TERM FOR A PERSON WITH DARK SKIN COMPLEXION,N
2O589W1,6,20589W1,LOOK ALIKE,N
35713,6,MY FAVORITE NUMBERS,ALL DIGITS,Y
42OGROW,7D,LEGAL GROW,"42O, DRUG REFERENCE TO MARIJUANA",N
5S5SS5S,6,I LIKE 5 AND S,THE LETTERS AND NUMBERS ALL LOOK ALIKE,N
619KINE,2,OF OR FROM SAN DIEGO,AREA CODE,N
619VERO,2,MY AREA CODE AND NICKNAME,AREA CODE,N
8O5BOSS,2,BOSS,AREA CODE,N
OH#OFCR,5,OH HI OFFICER,"OFFICER, LAW ENFORCEMENT REFERENCE",N
TRMNTR,2,THIS MODEL WAS NICK NAMED THE TERMINATOR,TERMINATOR MAY BE OFFENSIVE OR HOSTILE TO SOME,N
X5OCAL,2,JOB DISCRIPTION IN THE MILITARY,"COULD BE REFERENCING A 5O CALIBER BULLER, WEAPON REFERENCE",N
BON3SAW,2,THIS IS MY NICKNAME AND COMES FROM SPIDERMAN MOVIE,"BONESAW, SOME MAY FIND IT OFFENSIVE (BONESAW LISTED AS UNACCEPTABLE)",N
BUDS3RD,7D,I AM MY FATHERS 3RD CHILD.,"BUD, MARIJUANA REFERENCE",N
GNN,2,INITIALS OF A CLOSE FRIEND WHO WAS KILLED IN ACTION IN VIETNAM,"SIMILAR TO GUN, WEAPON REFERENCE",Y
HIPAY,7D,HIPAY IS THE NAME OF MY FINTECH COMPANY,"HIGH, DRUG REFERENCE",Y
LIBTARD,2,NAME,"TARD, SHORT FOR RETARD WHICH IS A DEROGATORY TERM FOR A PERSON WITH A DISABILITY",N
MNMNMNN,6,ALMA MATER,THE LETTERS ALL LOOK THE SAME,N
MRSV2U,2,MY NAME,"YOU, HOSTILE",Y
ODDDOOD,6,"AN EXPRESSION AND FUN WAY TO SPELL ""ODD DUDE""",THE LETTERS ALL LOOK THE SAME,N
O71829P,6,"07,18 AND 29 ARE THE BIRTHDATES AND ""P"" WILL BE THE FIRST LETTER OF OUR LAST NAME",LOOK ALIKE,N
SLUGLUV,2,"UC SANTA CRUZ MASCOT, BANANA SLUGS.","SLUG CAN BE ANOTHER WORD FOR BULLET, WEAPON REFERENCE",Y
USTLHRE,2,ARE YOU STILL HERE,"YOU, HOSTILE",Y
KLRADV,2,KAWASAKI KLR 650 ADVENTURE,"KILLER, HOSTILE (KAWASAKI ON ANI)",Y
AHUGPRN,1,A HUG AS NEEDED,PULLED FOR PRN (Plate already released. Denying would require a recall),Y
BEEEBZZ,3,NICKNAME,PULLED FOR BZ (CUSTOMERS NAME IS BEEBEE),Y
BYRNE IT,7D,BYRNE IS OUR LAST NAME AND FIREFIGHTER,"MARIJUANA REFERENCE (Legacy plate, name is BYRNE)",N
CHEEKS M,1,MY LAST NAME,"PULLED FOR CHEEKS (CHEEKS already released, customer is Mary Cheeks)",Y
D BK 9,2,THE BACK NINE,PULLED FOR BK,Y
HELLCUB,3,FOR MY HELLCUB CHARGER,PULLED FOR HELL (2015 dodge on record),Y
JUSJE 5O,5,NO MICRO,"PULLED FOR 5O (No Ford auto on record, only ford trucks)",Y
KAY BOSS,2,BUSINESS NAME,PULLED FOR BOSS,Y
KEGSTER,2,NICKNAME,INAPPROPRIATE?,N
LAK CK,2,INITIALS,PULLED FOR CK,Y
LTTLE 5O,5,MY TRUCK,PULLED FOR 5O (Ford Trucks on record),Y
OG 69LRK,2,ORIGINAL 1969 SKYLARK,PULLED FOR OG (1969 BUICK ON ANI),Y
TRD O4,2,TOYOTA RACING DEVELOPMENT,"PULLED FOR TRD (Toyota on record, not truck)",N
BARETTA,2,MY DAD'S NICKNAME,GUN,N
BJERKES,2,NO MEANING ON REG 17,BE JERKS? (Plate alrady released. Denying would require recall),Y
THABD,2,TIMBER HERITAGE ASSOCIATION BOARD,BD CAN STAND FOR BLACK DISCIPLE,N
ADICTS,7D,MY FAVORITE BAND,COULD BE REFERENCING DRUG ADDICTS,N
AMPMNKY,2,BUYING FOR A TESLA. PLAY ON WORDS OF TV SHOW GAS MONKEY.,MONKEY CAN BE A DEROGATORY TERM FOR A PERSON WITH DARK SKIN COMPLECTION,N
ANGERRA,2,NAME OF FAMILY,"""ANGELA"" BUT IN AN ASIAN ACCENT, SOME COULD FIND IT OFFENSIVE",Y
ARSNL1O,2,,"ARSENAL, WEAPON REFERENCE",N
BAAKOFF,2,BACK OFF. DON'T FOLLOW SO CLOSE.,COULD BE CONSIDERED HOSTILE OR AGGRESSIVE,N
BQMB5O,2 OR 5,BEING QUTE MY BEAUTIFUL 5O,"BQMB LOOKS LIKE BOMB, WEAPON REFERENCE AND 5O IS A LAW ENFORCEMENT REFERENCE",N
BUDZ74,7D,,BUD CAN BE A REFERENCE TO MARIJUANA,N
CRDKILR,2,CROWD CONTROL (MUSTANG JOKE),"KILLER, HOSTILE",N
CUNE,2,THE MEANING OF THIS LICENSE PLATE IS MY DAD'S NICKNAME.,"SOUNDS SIMILAR TO COON, DEROGATORY TERM",N
D3OOOO7,6,,LOOK ALIKE,N
GLCK19,2,HGH SCHOOL NICKNAME,"GLCK IS SIMILAR TO GLOCK, WEAPON REFERENCE",N
GLDNUGT,2,MY CAR IS OF THE GOLD COLOR.,NUGGET CAN BE A TERM USED TOWARD A PERSON WITH NO ARMS OR LEGS,Y
GTNFDED,7D,MY BARBER NAME,GETTING FADED,N
G94O213,6,CHILDRENS BIRTHDAYS,LOOK ALIKE,N
HICAIRS,7D,HIGH SIERRAS,"HIGH, DRUG REFERENCE",Y
HTNKID,2,HUDSON THOMAS NICHOLSON,"LOOKS LIKE HITTIN KID, HOSTILE",N
ICEKING,7D,HOCKEY FAN,ICE CAN BE ANOTHER NAME FOR A DRUG SIMILAR TO METH,Y
JIVTRKY,2,"IT'S A ABBREVIATION FOR ""JIVE TURKEY"" AN OLD SAYING THAT MY FATHER WOULD USE",JIVE TURKEY CAN BE A DEROGATORY TERM,Y
MRDABZ,7D,CAM NEWTON DABS,DABS IS A REFERENCE TO MARIJUANA,N
MVN2HI,7D,WHEN I RETIRE I AM GOING TO MOVE TO HAWAII. I ALSO DRIVE A 4X4 TRUCK.,"HIGH, DRUG REFERENCE",Y
REINASJ,7D,NICKNAME BORN,J COULD STAND FOR JOINT,Y
TATA929,1,NAME OF THE DRIVER AND FAMILY LUCKY NUMBER,TATA CAN BE ANOTHER WORD FOR BREASTS,N
TREJ,7D,JAMES JOHNSON JR,THE J COULD STAND FOR JOINT,Y
WKNBK,7D,KIDS INITIALS,"WAKE AND BAKE, DRUG REFERENCE",N
X9799O3,6,FAVORITE SEQUENCE,LOOK ALIKE,N
1125,6,SAME PLATES FROM ILLINOIS,ALL DIGITS,Y
1974RAG,2,IT'S A CONVERTIBLE CAR,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y
42OZ333,7D,,"42O, DRUG REFERENCE",N
5115,6,,ALL DIGITS,Y
5868ZO6,6,,LOOK ALIKE,N
936O4,6,"ZIP CODE FOR BASS LAKE, OUR HOME TOWN",ALL DIGITS,Y
CUL8DER,2,,"YOU, HOSTILE",Y
MYLITT$,7D,MY LITTLE LOVE,LITT CAN BE ANOTHER WORD FOR DRUNK OR HIGH,N
SOLTREE,7D,SOUL TREE,TREE CAN BE ANOTHER WORD FOR MARIJUNA,Y
DPBENG5,1,,LOOKS SIMILAR TO DEEP BANG,N
45678,6,JUST LIKE THE SEQUENCE OF NUMBERS,ALL DIGITS,Y
9O584,6,WEDDING DATE 09/05/1984,ALL DIGITS,Y
SEEUON9,2,LOCATION,"YOU, HOSTILE",N
NOMOJ4U,7D,,"NO MORE J FOR YOU, THE J COULD STAND FOR JOINT",N
AMI2FAT,2,FUN PLATE ... MY BOSS JOKES THAT I NEED TO LOSE WEIGHT ... I DISAGREE ...,FAT,N
BAMA NO1,2,ALABAMA NUMBER 1,BAMA (DC Slang for bad dresser also just like dude),Y
BLKTHRN,2,BLACKTHORNE,BLACK THORN,Y
BLUESGO,2,NHL FAN,BLUES,Y
BLU 5OH,4,BLUE MUSTANG,50 AS IN MUSTANG OR COP (Ford on ANI),Y
BOX GRL,1,BOXING GIRL,BOX,N
BURNER,2,BURNING MAN FANS,BURNER GUN,N
CRZY5OH,4,I OWN A 5.0 MUSTANG,5O AS IN COP OR MUSTANG (Ford on ANI),Y
DOUGHHO,1,STUFFED BAKERY DOUGH MAKER,HOE,N
GOZIRAA,2,NICKNAME FOR CAR,GODZILLA WITH A HEAVY ACCENT,N
GRAPPLE,2,I GRAPPLE AS A HOBBIE AND PROFESSION,FIGHT,Y
G19OW6,6,INITIALS AND FRATERNITY YEAR,LOOK A LIKE,N
HMRBR,1,,HUMMER,Y
HOKI3,2,SCHOOL,HOKIE (HOKIE already released),N
HOPHNTR,2,HOP HUNTER. IN SEARCH FOR HOPS TO BREW IN BEER.,HUNTER,Y
H4N 5O7O,6,"HAN SOLO IN LEETSPEAK, WHICH IS A SORT OF COMPUTER NERD LANGUAGE",HAN SOLO,Y
ITSAGS1,1,ITS A GAS,IT SAGS,N
ITSAGS2,1,ITS A GAS,IT SAGS,N
JUCEBX1,1,JUICE BOX,JUICE BOX,N
KAT ZAG,1,,CAT,Y
LIL SMKE,D7,,SMOKE,N
LNCHBX1,1,LUNCH BOX,LUNCH BOX,Y
LUEY 4O8,2,,408 ARA CODE,N
MOTWNPG,4,I LOVE DETROIT AND ITS MUSICAL HISTORY,PG PIG,N
MYO2HOE,1,MY 2002 TAHOE,HOE,N
NAS T,1,I AMA HILLARY SUPPORTER,NASTY,N
NOSUPFU,2,,NOS UP FOOL,N
ONDROX4,D7,ROCK CRAWLING,DRUG,Y
PEASENT,2,MY GREAT ANCESTORS WERE THE WORKING AND BLUE COLLAR TYPE. OUR ORGINAL FAMILY NAME WAS PEASANT. THIS IS TO PAY RESPECT TO ANCESTORS,PEASANT (PEASANT released in 2008. no complaints),Y
PEAZANT,2,MY GREAT ANCESTORS WERE THE WORKING AND BLUE COLLAR TYPE. OUR ORGINAL FAMILY NAME WAS PEASANT. THIS IS TO PAY RESPECT TO ANCESTORS,PEASANT (PEASANT released in 2008. no complaints),Y
PGHSTL1,4,PITTSBURGH STEELER 1,PIG HUSTLE,Y
P72O71O,6,"FIRST INITIAL OF LAST NAME AND BIRTH YEARS OF ME, WIFE AND KIDS",LOOK A LIKE,N
P87 G5O,6,PLEASE CENTER....PORSCHE 1987 G50 = TRANSMISSION,LOOK A LIKE,N
Q5OS TT,1,FOR AN INFINITI Q50S TWIN TURBO MODEL CAR.,TT AS IN BREAST (2016 Infiniti on ANI),Y
RAMTIME,1,,RAM TIME,N
STEZMOB,2,"FAMILY MOTTO, SUCCESS, TAKES",MOB,N
STKSHTN,,STOCKS HATING,CAN NOT TRANSLATE,N
TACOX,1,,TACO,N
TFIMJRH,,MOM'S SECRET NAME,CAN NOT TRANSLATE,N
TM ENDO,D7,TEAM EVERYDAY. NO. DAYS. OFF,INDO MARIJUANA,N
TOITACO,1,TOYOTA TACOMA,TOY TACO,N
TWRKVAN,1,"WORK VAN, THE T IS SILENT.",TWERK VAN,N
UR UGLY,2,DESCRIBES MY DAYS AT WORK,YOURE UGLY,N
VMC AUS,3,VETERANS MOTORCYCLE CLUB AUSTRALIA,AUS COULD MEAN AUSSIE OR AUSTRALIA,Y
VNLHAUS,3,VINYL HAUS,HAUL AUS BACKWARDS AND FORWARDS HLN AUS,Y
WTNY KTS,1,,KATS,Y
YULL CAT,1,,CAT,Y
YUR SLOW,2,,YOURE SLOW,N
ZED BLUE,2,BLUE CAR,BLUE,Y
2WO4OUR,,FOOTBALL JERSEY NUMBER,CAN NOT TRANSLATE,Y
298OOR1,6,,LOOK A LIKE,N
3O16 KJ,6,,LOOK A LIKE,N
51 WUDIE,1,,WOODY (Has 1950 Mercury Woody),Y
619 BOYZ,2,AREA CODE WHERE BORN,619 AREA GODE,N
9MM EDC,2,9 MILLIMETER EVERY DAY CARRY,9MM GUN,N
MBN KING,2,,MBN MOBBIN,N
OHNETUV,,,CAN NOT TRANSLATE,Y
FLP#DOC,,FLIP AND DOC,CAN NOT TRANSLATE,N
LVES#JB,1,LOVES MANICURIST JOBS,LOVES HAND JOB,N
MDUB$O1,2,SON'S NICKNAME M. W(DUB),DUB,N
KMG SOUP,1,,SOUP,Y
4 LOWCO,2,,LOCO CRAZY,N
ALL BLCS,2,"ALL BLACKS RUGBY TEAM FROM NEW ZEALAND...THE SPACING S/B ""ALL BLCS"" !!",ALL BLACKS (ALLBLKS is listed unacceptable),N
ANYUKOM,,TOTONTEPEC,CAN NOT TRANSLATE,N
BLWN CRZ,D7,,BLOWN CRAZY SMOKING (HONDA ON ANI),Y
DEZ4U NI,1,ABSOLUTELY LOVE THE DESERT AND DRY HEAT.GO TO MY OTHER HOME THERE EVERY WEEKEND.,DEEZ FOR YOU,N
HYXENIC,,NAME OF CLEANING AND SANITATION COMPANY,CAN NOT TRANSLATE,Y
I BLOOPY,2,NICKNAME,I BE LOOPY,Y
ILWU42O,D7,WORK NUMBER,I LOVE WHEN YOUR HIGH 420,N
